"objid","baumnummer","geometry"
"60593","SW-221","POINT (2684572 1251083.2)"
"125096","SW-12170","POINT (2684675.5 1250997.5)"
"137705","SW-355","POINT (2684968.2 1250962.1)"
"204578","SW-5218","POINT (2685059.2 1251038.2)"
"204581","SW-5222","POINT (2685063 1251040.1)"
"196604","SW-5300","POINT (2685102 1251002.6)"
"5636","SW-1397","POINT (2685091.5 1251088.2)"
"187631","SW-5353","POINT (2685025.8 1250992.4)"
"187625","SW-5314","POINT (2685016.2 1250965.1)"
"71795","SW-10222","POINT (2684522.5 1251009.8)"
"125087","SW-12173","POINT (2684650 1250998.1)"
"137597","SW-9404","POINT (2684685.8 1250996.4)"
"80777","SW-1422","POINT (2684807.8 1250919.5)"
"187652","SW-5302","POINT (2685114.2 1251024.1)"
"125093","SW-12171","POINT (2684667.2 1250997.2)"
"196616","SW-5280","POINT (2685151 1250994.6)"
"40733","SW-11193","POINT (2684919.5 1251263.1)"
"11624","SW-10638","POINT (2685143.2 1250806.4)"
"128555","SW-210","POINT (2684477.5 1251106.1)"
"217382","SW-7293","POINT (2684822.2 1251320.8)"
"128873","SW-384","POINT (2684801 1250963.9)"
"128870","SW-382","POINT (2684771.2 1250985.2)"
"187640","SW-5307","POINT (2685052.5 1250954.8)"
"137714","SW-351","POINT (2684922.2 1250970)"
"128867","SW-381","POINT (2684760.8 1250986.9)"
"129020","SW-366","POINT (2685105.8 1250941.9)"
"137600","SW-348","POINT (2684821.5 1250990.5)"
"187916","SW-5243","POINT (2685149 1251031.2)"
"60572","SW-7137","POINT (2684927 1251279.4)"
"204593","SW-5230","POINT (2685089.2 1251039.5)"
"165275","SW-11865","POINT (2685145 1251013.8)"
"187907","SW-5215","POINT (2685034.8 1251024.6)"
"137711","SW-352","POINT (2684933.8 1250968.1)"
"187103","SW-7295","POINT (2684810.5 1251333.5)"
"39917","SW-7128","POINT (2684907.5 1251237.8)"
"187904","SW-5214","POINT (2685036 1251025.4)"
"203834","OE-5643","POINT (2683580.2 1251981)"
"29246","OE-160","POINT (2683288 1252042.5)"
"107753","SE-2164","POINT (2683362.5 1252385.9)"
"237365","SE-5207","POINT (2683291.8 1252249)"
"29618","SE-4434","POINT (2683597.8 1252199.2)"
"55826","OE-5669","POINT (2683588.2 1252017.2)"
"55823","OE-5652","POINT (2683569 1251998.8)"
"102698","SE-2165","POINT (2683377 1252385.9)"
"236795","SE-5218","POINT (2683322 1252235.9)"
"141578","SE-2127","POINT (2683482.5 1252446.5)"
"141314","SE-3743","POINT (2683506 1252452.2)"
"112043","OE-4709","POINT (2683416.5 1251880.2)"
"25289","OE-4687","POINT (2683291.5 1251853.8)"
"218345","SE-2123","POINT (2683491 1252428.2)"
"112037","OE-4707","POINT (2683408 1251876.8)"
"236798","SE-4685","POINT (2683333.5 1252235.4)"
"47069","SE-5322","POINT (2683413.2 1252372.1)"
"15632","SE-2140","POINT (2683300.8 1252390)"
"54458","SE-5423","POINT (2683606.5 1252225.5)"
"112538","OE-4713","POINT (2683434.2 1251893.4)"
"46130","SE-2308","POINT (2683542.5 1252384.1)"
"29357","SE-4430","POINT (2683370 1252150.1)"
"141305","SE-2306","POINT (2683537 1252449.8)"
"236828","SE-5205","POINT (2683291.5 1252257)"
"141206","SE-2184","POINT (2683545 1252449)"
"151643","OE-5656","POINT (2683563.8 1252016.2)"
"104939","SE-5329","POINT (2683409 1252361.4)"
"46145","SE-2313","POINT (2683491 1252273.4)"
"141317","SE-3742","POINT (2683509 1252446.2)"
"236246","SE-4675","POINT (2683304.5 1252235.9)"
"46151","SE-2315","POINT (2683496.5 1252247.5)"
"236243","SE-5221","POINT (2683300.8 1252234.8)"
"114383","OE-4691","POINT (2683327.5 1251828.2)"
"54446","SE-5417","POINT (2683564.5 1252319)"
"11258","SE-2166","POINT (2683388 1252394.9)"
"136403","SE-269","POINT (2683503.5 1252362.9)"
"44222","SE-2119","POINT (2683512.8 1252421.9)"
"20018","SE-1111","POINT (2683587.8 1252452.8)"
"25295","OE-4689","POINT (2683301.2 1251837.2)"
"203843","OE-5647","POINT (2683580.2 1251983.8)"
"236234","SE-4668","POINT (2683288.8 1252234.9)"
"112034","OE-4706","POINT (2683401 1251874.5)"
"151754","OE-5665","POINT (2683577.2 1252017.9)"
"112535","OE-4711","POINT (2683423 1251885.6)"
"141581","SE-2186","POINT (2683513.5 1252462.1)"
"141197","SE-2181","POINT (2683546 1252455.4)"
"123839","SE-5425","POINT (2683604 1252199)"
"237359","SE-5212","POINT (2683285.5 1252252.1)"
"73970","OE-5937","POINT (2683542 1251941.2)"
"112028","OE-4703","POINT (2683392.8 1251869.8)"
"114395","OE-4695","POINT (2683355.8 1251848.1)"
"136397","SE-4348","POINT (2683320.8 1252383)"
"151760","OE-5668","POINT (2683583.5 1252018.1)"
