"objid","baumnummer","geometry"
"159212","WD-8830","POINT (2680571.8 1245914.8)"
"118568","WD-911","POINT (2680652.8 1246098.8)"
"8906","WD-4095","POINT (2680583.2 1245767.9)"
"118571","WD-912","POINT (2680648.2 1246106.2)"
"185636","WD-8809","POINT (2680648 1245878)"
"140180","WD-8807","POINT (2680642 1245910.2)"
"215066","WD-10093","POINT (2680546.2 1245831.2)"
"219455","WD-8806","POINT (2680678.8 1245923.1)"
"37994","WD-2698","POINT (2680814 1245858.4)"
"219983","WD-13678","POINT (2680604.2 1245977)"
"21752","WD-9750","POINT (2680587.2 1246195.8)"
"218471","WD-8814","POINT (2680608.2 1245865.8)"
"159464","WD-8776","POINT (2680568.8 1246038.4)"
"18944","WD-3304","POINT (2680737 1245962.8)"
"218960","WD-8821","POINT (2680564 1245879.1)"
"188693","WD-4036","POINT (2680613 1246161.2)"
"38000","WD-2701","POINT (2680798.2 1245883.9)"
"188690","WD-4334","POINT (2680664 1246080.9)"
"215057","WD-13148","POINT (2680651 1245834)"
"217805","WD-13633","POINT (2680647 1245879)"
"176183","WD-8788","POINT (2680649.5 1245939.5)"
"176300","WD-8820","POINT (2680574.5 1245862.4)"
"118574","WD-920","POINT (2680643.8 1246139.1)"
"218480","WD-8819","POINT (2680573.5 1245867.9)"
"70778","WD-8875","POINT (2680558.5 1245812)"
"219995","WD-8780","POINT (2680619.2 1246073.5)"
"118562","WD-899","POINT (2680726.2 1245979.6)"
"219989","WD-8777","POINT (2680587.2 1246024.2)"
"192074","WD-13810","POINT (2680797.8 1245720.4)"
"170522","WD-8411","POINT (2680550.8 1246040)"
"2063","WD-3486","POINT (2680588.8 1245772)"
"188699","WD-4038","POINT (2680580.8 1246204.6)"
"176180","WD-8779","POINT (2680595.2 1246056.9)"
"218477","WD-3046","POINT (2680585.5 1245851.8)"
"192071","WD-11842","POINT (2680791.2 1245707.2)"
"70784","WD-8877","POINT (2680565.2 1245817.5)"
"70787","WD-8878","POINT (2680570 1245820.6)"
"170531","WD-8793","POINT (2680718 1245923.4)"
"219467","WD-8785","POINT (2680685.8 1245978.6)"
"118559","WD-893","POINT (2680788.2 1245900.1)"
"218987","WD-3047","POINT (2680641.2 1245896.2)"
"118556","WD-892","POINT (2680793.2 1245892.2)"
"188696","WD-3300","POINT (2680599 1246179.8)"
"159215","WD-8829","POINT (2680570 1245914.4)"
"224183","WD-12961","POINT (2680534.5 1245828.6)"
"146093","WD-8794","POINT (2680706.5 1245919.9)"
"219986","WD-8773","POINT (2680582.8 1246004.9)"
"70667","WD-8874","POINT (2680547.8 1245801)"
"215054","WD-13358","POINT (2680631.2 1245821.6)"
"191753","WD-910","POINT (2680658.2 1246089.9)"
"219476","WD-8786","POINT (2680638.8 1245949)"
"146084","WD-8791","POINT (2680699 1245958.2)"
"176189","WD-8800","POINT (2680688.5 1245908.4)"
"218963","WD-8823","POINT (2680559 1245884.6)"
"151289","WD-8802","POINT (2680686 1245915.5)"
"191756","WD-913","POINT (2680643 1246114.8)"
"192068","WD-1293","POINT (2680784.5 1245703)"
"118565","WD-900","POINT (2680721.2 1245987.8)"
"167045","WD-11944","POINT (2680640.5 1246022.8)"
"189188","WD-3302","POINT (2680601.2 1246195.4)"
"170528","WD-8799","POINT (2680689.5 1245904.9)"
"8903","WD-4094","POINT (2680595 1245767.9)"
"27269","WD-3461","POINT (2680742 1245954.2)"
"8900","WD-4092","POINT (2680640 1245757.1)"
"219461","WD-8801","POINT (2680686 1245931.5)"
"218984","WD-8767","POINT (2680517.8 1245939.9)"
"215048","WD-13360","POINT (2680620 1245843)"
"18941","WD-5656","POINT (2680695.2 1246029.8)"
"37997","WD-2699","POINT (2680808.8 1245867)"
"176597","WD-13373","POINT (2680803.5 1245982.9)"
"193694","WD-8023","POINT (2680633.8 1246152)"
"18869","WD-5641","POINT (2680589.2 1246211.5)"
"188687","WD-4034","POINT (2680669 1246072.6)"
"215042","WD-13362","POINT (2680634.5 1245851.9)"
"41033","WD-2702","POINT (2680704.5 1246015)"
"218966","WD-8822","POINT (2680560 1245879.2)"
"217808","WD-11943","POINT (2680611.5 1246040.4)"
"218978","WD-8827","POINT (2680527 1245931.1)"
"188684","WD-3575","POINT (2680690.5 1246037.6)"
"215051","WD-13359","POINT (2680628.5 1245823.6)"
"210620","WD-8324","POINT (2680792.5 1245709.6)"
"224180","WD-12960","POINT (2680529.5 1245836.9)"
"170525","WD-8792","POINT (2680702.5 1245934.1)"
"146081","WD-8804","POINT (2680683 1245920.4)"
"188681","WD-4335","POINT (2680700.2 1246021.6)"
"39209","WD-12058","POINT (2680710.8 1246004.9)"
"171200","WD-8808","POINT (2680626 1245893.6)"
"39212","WD-12054","POINT (2680772 1245926.2)"
"56999","WD-3301","POINT (2680595 1246203.6)"
"194372","WD-11844","POINT (2680800 1245722.8)"
"225266","WD-8774","POINT (2680572.5 1246019.5)"
"176606","WD-13370","POINT (2680789.8 1245968.9)"
"140183","WD-8816","POINT (2680598 1245848.8)"
"194369","WD-8323","POINT (2680809.5 1245726)"
"188228","WD-3460","POINT (2680777.2 1245918.1)"
"2069","WD-3488","POINT (2680672.5 1245701.8)"
"56996","WD-2700","POINT (2680803.5 1245875.5)"
"215060","WD-10095","POINT (2680536.8 1245837.5)"
"132653","WD-10417","POINT (2680500.8 1245447.5)"
"112742","WD-10416","POINT (2680505.8 1245452.2)"
"217940","WD-8833","POINT (2680714 1245384.4)"
"132671","WD-10425","POINT (2680531 1245414.9)"
"170534","WD-8861","POINT (2680676.5 1245421.4)"
"185666","WD-13563","POINT (2680793.5 1245369.5)"
"70877","WD-12275","POINT (2680384.5 1245437.9)"
"71003","WD-12271","POINT (2680395.2 1245460.6)"
"132791","WD-10429","POINT (2680548.2 1245393.1)"
"217463","WD-8863","POINT (2680672 1245432.2)"
"71000","WD-12272","POINT (2680395.5 1245460)"
"132665","WD-10424","POINT (2680521.8 1245426.9)"
"70847","WD-12280","POINT (2680374 1245425.4)"
"71006","WD-11165","POINT (2680390.8 1245461.9)"
"107642","WD-10423","POINT (2680522 1245423.5)"
"190286","WD-13564","POINT (2680791.2 1245380.1)"
"190292","WD-13566","POINT (2680782.5 1245395.5)"
"70739","WD-11169","POINT (2680406.5 1245418.5)"
"70850","WD-11151","POINT (2680368.8 1245425.5)"
"70841","WD-12283","POINT (2680366.2 1245420.5)"
"70736","WD-12284","POINT (2680365.5 1245417.5)"
"214796","WD-8846","POINT (2680692.8 1245446.2)"
"70727","WD-12286","POINT (2680362 1245413.5)"
"70733","WD-11147","POINT (2680363 1245417)"
"70868","WD-12278","POINT (2680380.5 1245434.4)"
"70871","WD-11171","POINT (2680395.2 1245435.8)"
"70865","WD-12277","POINT (2680383.5 1245433.9)"
"132164","WD-10420","POINT (2680510.5 1245434.8)"
"89507","WD-10421","POINT (2680516.5 1245434.5)"
"70856","WD-11153","POINT (2680375.5 1245429)"
"70706","WD-12290","POINT (2680354.8 1245406.6)"
"176369","WD-8847","POINT (2680676 1245435.6)"
"70718","WD-12287","POINT (2680359 1245410.4)"
"89501","WD-10415","POINT (2680497.8 1245464.4)"
"70988","WD-12274","POINT (2680386.8 1245439.6)"
"70598","WD-11140","POINT (2680346.8 1245370.4)"
"70712","WD-12289","POINT (2680356.2 1245408.2)"
"171206","WD-12554","POINT (2680714.2 1245389.4)"
"190289","WD-13565","POINT (2680788.8 1245382.9)"
"111230","WD-10428","POINT (2680549.8 1245385.4)"
"70742","WD-12282","POINT (2680368.2 1245420.2)"
"70604","WD-11180","POINT (2680422.2 1245399.9)"
"70715","WD-12288","POINT (2680357.5 1245409.4)"
"70721","WD-11144","POINT (2680360.5 1245412.1)"
"146774","WD-8859","POINT (2680685.2 1245404.2)"
"185447","WD-13562","POINT (2680792.2 1245373.2)"
"70595","WD-11149","POINT (2680364.2 1245368.9)"
"71009","WD-12270","POINT (2680393.8 1245463.5)"
"146777","WD-8843","POINT (2680725.2 1245466)"
"112745","WD-10427","POINT (2680552.8 1245379.8)"
"70853","WD-11175","POINT (2680402 1245425.8)"
"70607","WD-12291","POINT (2680359 1245400.9)"
"132662","WD-10422","POINT (2680516.8 1245427.5)"
"217943","WD-8849","POINT (2680704 1245366)"
"132659","WD-10419","POINT (2680510.8 1245443.6)"
"70994","WD-11155","POINT (2680389 1245441.6)"
"89510","WD-10430","POINT (2680572.2 1245370.8)"
"132656","WD-10418","POINT (2680506.2 1245444.9)"
"70724","WD-11173","POINT (2680410.5 1245412.8)"
"89387","WD-10414","POINT (2680495.2 1245467)"
"70709","WD-11178","POINT (2680418.5 1245407.1)"
"146780","WD-8842","POINT (2680731.5 1245467.8)"
"89513","WD-10431","POINT (2680579.8 1245361.5)"
"70874","WD-12276","POINT (2680386.8 1245436.5)"
"190793","WD-13567","POINT (2680782 1245398.5)"
"217934","WD-8858","POINT (2680683.2 1245408.6)"
"70859","WD-12279","POINT (2680379.2 1245430.2)"
"70997","WD-12273","POINT (2680388.2 1245459.1)"
"176372","WD-8860","POINT (2680679 1245417)"
"217466","WD-8862","POINT (2680673.2 1245428.2)"
"70730","WD-12285","POINT (2680363.5 1245414.4)"
"70862","WD-11166","POINT (2680397.2 1245432.5)"
"185444","WD-12593","POINT (2680707.5 1245404.5)"
"70991","WD-11160","POINT (2680391.5 1245440.6)"
"132668","WD-10426","POINT (2680526.8 1245413.9)"
"217937","WD-8857","POINT (2680693 1245386.8)"
"70844","WD-12281","POINT (2680370.2 1245422)"
"151202","WD-8834","POINT (2680720.5 1245388.6)"
"214799","WD-8845","POINT (2680710 1245457)"
"176375","WD-8856","POINT (2680695 1245382.4)"
"215282","WD-8844","POINT (2680717.2 1245458.6)"
"70601","WD-11148","POINT (2680363.5 1245390.6)"
"43493","WO-199","POINT (2682479.5 1243446.5)"
"238700","WO-8735","POINT (2682666.2 1243357)"
"41186","WO-5665","POINT (2683264.2 1243466.2)"
"52604","WO-1069","POINT (2682691 1243489.2)"
"49940","WO-812","POINT (2682718.8 1243418.4)"
"78692","WO-8771","POINT (2682574.2 1243449.5)"
"52430","WO-3413","POINT (2682665.2 1243368.2)"
"238697","WO-8736","POINT (2682667.8 1243357.1)"
"238412","WO-5661","POINT (2683273 1243470.2)"
"10607","WO-4563","POINT (2683098.5 1243328.5)"
"231572","WO-8729","POINT (2682697 1243408.4)"
"238673","WO-8724","POINT (2682710.2 1243441.9)"
"107045","WO-815","POINT (2682705 1243418.1)"
"232610","WO-3202","POINT (2682746.2 1243469.8)"
"107048","WO-808","POINT (2682697.8 1243479.5)"
"52424","WO-3478","POINT (2682643.2 1243341)"
"14681","WO-1429","POINT (2683092.5 1243328.4)"
"63008","WO-8629","POINT (2682567.8 1243331.4)"
"238418","WO-8635","POINT (2683283.2 1243464.1)"
"108152","WO-809","POINT (2682704 1243471.6)"
"63107","WO-817","POINT (2682699.8 1243359.6)"
"238682","WO-8727","POINT (2682712.5 1243410.9)"
"32138","WO-5663","POINT (2683279.5 1243468.6)"
"53672","WO-1068","POINT (2682717 1243456.2)"
"43505","WO-203","POINT (2682479 1243402.1)"
"43514","WO-206","POINT (2682479 1243376.5)"
"52304","WO-5986","POINT (2682552.8 1243439.5)"
"237905","WO-5666","POINT (2683270.2 1243468.5)"
"119237","WO-3544","POINT (2683247 1243351)"
"62903","WO-8628","POINT (2682574 1243326.2)"
"56756","WO-5974","POINT (2682587.8 1243467.9)"
"238685","WO-8728","POINT (2682706.8 1243402.9)"
"52298","WO-5988","POINT (2682562.8 1243446)"
"52301","WO-5987","POINT (2682557.8 1243442.8)"
"10604","WO-4562","POINT (2683103.5 1243334)"
"238415","WO-5662","POINT (2683278.8 1243471.6)"
"231566","WO-8742","POINT (2682633.2 1243327.8)"
"43418","WO-197","POINT (2682479.5 1243473.2)"
"126230","WO-831","POINT (2682649 1243348)"
"239246","WO-8739","POINT (2682645 1243328.8)"
"33581","WO-6046","POINT (2682495.5 1243418.4)"
"9200","WO-1368","POINT (2682808.5 1243372.5)"
"43490","WO-198","POINT (2682479.5 1243455.5)"
"238694","WO-8734","POINT (2682671.5 1243363.1)"
"238688","WO-8732","POINT (2682701.2 1243393.2)"
"45509","WO-5977","POINT (2682584.2 1243449.9)"
"78884","WO-5214","POINT (2683209.2 1243413.1)"
"63104","WO-1019","POINT (2682704.5 1243340.6)"
"43511","WO-205","POINT (2682479 1243384.6)"
"14687","WO-1431","POINT (2683106.5 1243333.8)"
"58547","WO-8617","POINT (2682578.8 1243449.2)"
"52421","WO-5979","POINT (2682537.5 1243429.9)"
"63020","WO-8633","POINT (2682548.8 1243346.6)"
"45506","WO-5975","POINT (2682586.8 1243461.4)"
"238679","WO-8726","POINT (2682729.5 1243419.1)"
"232607","WO-3201","POINT (2682733 1243455.4)"
"108143","WO-952","POINT (2683260.8 1243337.9)"
"43508","WO-204","POINT (2682479 1243393.2)"
"53669","WO-1704","POINT (2682676.2 1243382.4)"
"52433","WO-3181","POINT (2682708.5 1243328.2)"
"9086","WO-1365","POINT (2682774 1243407.5)"
"239234","WO-8737","POINT (2682667 1243355.8)"
"78689","WO-8770","POINT (2682586.8 1243451.4)"
"52427","WO-3505","POINT (2682702.2 1243349.2)"
"52418","WO-5984","POINT (2682542.5 1243433.1)"
"57821","WO-8621","POINT (2682500 1243407.5)"
"14795","WO-1436","POINT (2683134 1243332.9)"
"58550","WO-8618","POINT (2682588.2 1243449.1)"
"33713","WO-5213","POINT (2683204.5 1243421.4)"
"49937","WO-829","POINT (2682659.8 1243361.4)"
"231569","WO-8731","POINT (2682682.2 1243389.5)"
"63011","WO-8630","POINT (2682567.2 1243326)"
"239237","WO-8738","POINT (2682661.5 1243349.6)"
"9197","WO-1367","POINT (2682798.5 1243385.5)"
"14789","WO-1432","POINT (2683110 1243335.2)"
"231575","WO-8730","POINT (2682689.5 1243400)"
"43496","WO-200","POINT (2682479.5 1243437.4)"
"14684","WO-1430","POINT (2683101.2 1243330.9)"
"43415","WO-196","POINT (2682479.8 1243483.4)"
"109214","WO-830","POINT (2682653.5 1243353.5)"
"43517","WO-207","POINT (2682478.8 1243367.5)"
"56321","WO-5215","POINT (2683195.8 1243421.2)"
"107114","WO-950","POINT (2683248.2 1243368.4)"
"52307","WO-5985","POINT (2682547.8 1243436.2)"
"107111","WO-949","POINT (2683245.2 1243364.9)"
"45512","WO-833","POINT (2682637.8 1243334)"
"63017","WO-8632","POINT (2682533.8 1243345.9)"
"107108","WO-953","POINT (2683272.5 1243344.9)"
"33716","WO-5216","POINT (2683188.2 1243417.6)"
"238676","WO-8725","POINT (2682709.8 1243431.9)"
"43520","WO-208","POINT (2682478.8 1243358.6)"
"62537","WO-8638","POINT (2683286 1243471.8)"
"237902","WO-5664","POINT (2683264.5 1243468.4)"
"9089","WO-1366","POINT (2682786.2 1243397)"
"41657","WO-211","POINT (2682478.5 1243330.1)"
"41654","WO-210","POINT (2682478.5 1243340.2)"
"41651","WO-209","POINT (2682478.8 1243349.8)"
"238691","WO-8733","POINT (2682698 1243382.2)"
"43499","WO-201","POINT (2682479.2 1243428.2)"
"62534","WO-8637","POINT (2683283.8 1243472.5)"
"119234","WO-3479","POINT (2682698.2 1243369)"
"43502","WO-202","POINT (2682479.2 1243419)"
"238421","WO-8636","POINT (2683284.2 1243469)"
"168518","AR-3845","POINT (2679557.5 1247348)"
"168980","AR-3590","POINT (2679627.5 1247349.6)"
"182495","AR-4271","POINT (2679581.8 1247341.5)"
"68585","AR-392","POINT (2679395.5 1247709.1)"
"72620","AR-1226","POINT (2679507.5 1247501.6)"
"174116","AR-1911","POINT (2679586 1247434.8)"
"41342","AR-2785","POINT (2679530.5 1247478.5)"
"124544","AR-2534","POINT (2679505.2 1247476.1)"
"168989","AR-3883","POINT (2679553.5 1247332.4)"
"169100","AR-3838","POINT (2679575 1247330.1)"
"39437","AR-3068","POINT (2679471.8 1247363.8)"
"60851","AR-4443","POINT (2679568.8 1247607.8)"
"169103","AR-3837","POINT (2679576.2 1247335.9)"
"56534","AR-2187","POINT (2679509.5 1247515.4)"
"72629","AR-373","POINT (2679528.2 1247469.9)"
"55523","AR-4204","POINT (2679500 1247499.4)"
"68999","AR-329","POINT (2679476.5 1247255.5)"
"182375","AR-4212","POINT (2679605.5 1247433.9)"
"68438","AR-416","POINT (2679625 1247659.6)"
"55532","AR-4182","POINT (2679550.8 1247461.8)"
"75212","AR-257","POINT (2679357.2 1247194.9)"
"68561","AR-406","POINT (2679521.2 1247682)"
"168977","AR-2098","POINT (2679591.8 1247328.9)"
"68966","AR-812","POINT (2679379.5 1247498)"
"55526","AR-4200","POINT (2679546.5 1247452.8)"
"17945","AR-1124","POINT (2679523 1247472.4)"
"72638","AR-1221","POINT (2679448.5 1247505.5)"
"72767","AR-1214","POINT (2679405.5 1247507.5)"
"68963","AR-1123","POINT (2679367.2 1247510.6)"
"17939","AR-351","POINT (2679398.2 1247478.8)"
"56936","AR-3589","POINT (2679373.2 1247504.6)"
"48476","AR-353","POINT (2679386 1247491.4)"
"193757","AR-2775","POINT (2679609 1247738.2)"
"40226","AR-2528","POINT (2679424.2 1247452.2)"
"45485","AR-1319","POINT (2679502 1247686.1)"
"197537","AR-1723","POINT (2679548.5 1247392.1)"
"19337","AR-2107","POINT (2679530.8 1247540.2)"
"68699","AR-389","POINT (2679370 1247714.8)"
"55508","AR-4194","POINT (2679514.8 1247683.5)"
"39431","AR-2898","POINT (2679417 1247459.6)"
"197045","AR-1729","POINT (2679591 1247359)"
"197021","AR-377","POINT (2679633.8 1247418.5)"
"72500","AR-1197","POINT (2679572.2 1247628.4)"
"174122","AR-1914","POINT (2679567.8 1247449)"
"72758","AR-1215","POINT (2679422 1247505.9)"
"168515","AR-3846","POINT (2679560.5 1247342.6)"
"45482","AR-784","POINT (2679652.8 1247653.6)"
"45641","AR-407","POINT (2679529.2 1247680.2)"
"68450","AR-411","POINT (2679564.8 1247672.6)"
"70295","AR-1232","POINT (2679504 1247483.4)"
"68693","AR-391","POINT (2679386.2 1247711.2)"
"70292","AR-342","POINT (2679459.8 1247400.8)"
"197543","AR-1721","POINT (2679554.2 1247400.5)"
"55514","AR-4202","POINT (2679566.2 1247643.2)"
"35333","AR-1233","POINT (2679510 1247490.9)"
"168968","AR-3848","POINT (2679565.2 1247337.8)"
"17942","AR-352","POINT (2679392.5 1247484.8)"
"68567","AR-402","POINT (2679485 1247689.8)"
"68441","AR-414","POINT (2679605.2 1247663.9)"
"39428","AR-2899","POINT (2679411.8 1247466)"
"68975","AR-337","POINT (2679480.8 1247335.5)"
"163886","AR-2103","POINT (2679634 1247353.9)"
"68996","AR-330","POINT (2679478.8 1247264.1)"
"197546","AR-1904","POINT (2679592.2 1247409.1)"
"45647","AR-410","POINT (2679556 1247674.5)"
"195869","AR-4512","POINT (2679437.2 1247501.1)"
"197540","AR-1722","POINT (2679551.2 1247395.9)"
"168974","AR-3839","POINT (2679569.8 1247351)"
"189200","AR-398","POINT (2679449.2 1247701.4)"
"69104","AR-328","POINT (2679475 1247238.6)"
"169097","AR-3835","POINT (2679572.8 1247343)"
"56531","AR-1227","POINT (2679505.2 1247504.8)"
"72614","AR-1717","POINT (2679531.2 1247563.2)"
"55511","AR-4206","POINT (2679580 1247651)"
"197024","AR-378","POINT (2679630.8 1247414)"
"182492","AR-4270","POINT (2679585.2 1247345.1)"
"45650","AR-415","POINT (2679615.5 1247661.6)"
"168971","AR-3840","POINT (2679567.2 1247345)"
"12683","AR-1086","POINT (2679500 1247468.6)"
"169106","AR-3841","POINT (2679563.2 1247331.8)"
"68696","AR-390","POINT (2679377.8 1247713)"
"56411","AR-1231","POINT (2679495.5 1247480.4)"
"197048","AR-1727","POINT (2679593 1247363.4)"
"182519","AR-1895","POINT (2679648.8 1247366.6)"
"174113","AR-1910","POINT (2679591.5 1247439.5)"
"45653","AR-418","POINT (2679643.5 1247655.6)"
"68702","AR-388","POINT (2679361.5 1247720)"
"40220","AR-2559","POINT (2679539.2 1247465.2)"
"40223","AR-2529","POINT (2679429.2 1247447.1)"
"193754","AR-2776","POINT (2679612 1247740.5)"
"40082","AR-2545","POINT (2679468.5 1247373.5)"
"72749","AR-1220","POINT (2679441.2 1247500.2)"
"68987","AR-333","POINT (2679485 1247300.6)"
"182489","AR-2106","POINT (2679573.2 1247358.6)"
"72776","AR-1207","POINT (2679392 1247503.8)"
"193760","AR-2778","POINT (2679611.5 1247734)"
"68576","AR-399","POINT (2679458.5 1247695.6)"
"68573","AR-400","POINT (2679467 1247693.6)"
"75302","AR-256","POINT (2679364.5 1247186.5)"
"72497","AR-1246","POINT (2679570 1247655.2)"
"55520","AR-4205","POINT (2679496 1247490.8)"
"72635","AR-1222","POINT (2679462.5 1247503.2)"
"169094","AR-3834","POINT (2679570.5 1247338)"
"55517","AR-4207","POINT (2679575.8 1247636.5)"
"72764","AR-1213","POINT (2679408.5 1247504.6)"
"182381","AR-4251","POINT (2679596.5 1247392.9)"
"68444","AR-413","POINT (2679582.5 1247668.8)"
"41330","AR-1239","POINT (2679562 1247580.9)"
"72617","AR-1225","POINT (2679512.8 1247520)"
"168623","AR-3843","POINT (2679559.8 1247358.4)"
"68579","AR-396","POINT (2679433.2 1247701.2)"
"180527","AR-4239","POINT (2679640.5 1247367.1)"
"196526","AR-1913","POINT (2679575.2 1247451)"
"197039","AR-4201","POINT (2679625.2 1247339.1)"
"72503","AR-1243","POINT (2679562.5 1247625.2)"
"41336","AR-1224","POINT (2679519 1247526.4)"
"197534","AR-1724","POINT (2679546 1247387.9)"
"72770","AR-1210","POINT (2679405.2 1247495.9)"
"39434","AR-3067","POINT (2679465.2 1247383.1)"
"69119","AR-786","POINT (2679488.2 1247187.5)"
"68969","AR-768","POINT (2679449.8 1247422.1)"
"168512","AR-3847","POINT (2679558.5 1247336.6)"
"68582","AR-394","POINT (2679414.5 1247705.1)"
"68984","AR-766","POINT (2679485 1247309.9)"
"174110","AR-1909","POINT (2679600 1247437.6)"
"45527","AR-2248","POINT (2679405.2 1247707)"
"72608","AR-1241","POINT (2679554.8 1247593.4)"
"56528","AR-1218","POINT (2679434.8 1247505.1)"
"196529","AR-1908","POINT (2679605.5 1247437.5)"
"72761","AR-1212","POINT (2679411.2 1247501.9)"
"68447","AR-412","POINT (2679573.5 1247670.8)"
"69107","AR-327","POINT (2679475.5 1247230)"
"25046","AR-2784","POINT (2679574.8 1247611.6)"
"56939","AR-4203","POINT (2679400 1247501.9)"
"72755","AR-1216","POINT (2679426.5 1247506.4)"
"41333","AR-1240","POINT (2679549.2 1247578.4)"
"68564","AR-917","POINT (2679493.5 1247688)"
"68435","AR-417","POINT (2679634.5 1247657.5)"
"72626","AR-814","POINT (2679512.5 1247478.6)"
"102089","AR-1999","POINT (2679523.2 1247522.8)"
"182504","AR-2102","POINT (2679621.2 1247345.9)"
"168620","AR-3844","POINT (2679559 1247353)"
"68990","AR-765","POINT (2679484.5 1247290.6)"
"72611","AR-1238","POINT (2679568.8 1247597)"
"182510","AR-3885","POINT (2679636.8 1247361.6)"
"45644","AR-408","POINT (2679538.5 1247678.4)"
"72623","AR-1230","POINT (2679487.8 1247481.6)"
"124541","AR-2929","POINT (2679538.5 1247406.6)"
"68993","AR-331","POINT (2679481.2 1247273.8)"
"45488","AR-1264","POINT (2679424.8 1247702.9)"
"68972","AR-341","POINT (2679462.8 1247392.6)"
"195872","AR-4510","POINT (2679447.8 1247497.8)"
"169091","AR-3836","POINT (2679569 1247331.9)"
"69110","AR-326","POINT (2679476.8 1247220.5)"
"197033","AR-381","POINT (2679622.2 1247401.2)"
"56942","AR-4175","POINT (2679455 1247412.2)"
"189197","AR-397","POINT (2679442 1247702.8)"
"182513","AR-4246","POINT (2679653 1247365.8)"
"197528","AR-1728","POINT (2679584.2 1247362)"
"68978","AR-336","POINT (2679482.5 1247328.6)"
"68570","AR-401","POINT (2679475.8 1247691.9)"
"182384","AR-4250","POINT (2679602.2 1247388.8)"
"12680","AR-1087","POINT (2679481.8 1247466.5)"
"41339","AR-375","POINT (2679517.5 1247475.4)"
"72752","AR-1217","POINT (2679426.8 1247509.8)"
"197042","AR-1732","POINT (2679582.2 1247332.9)"
"72506","AR-1242","POINT (2679556 1247606.9)"
"181331","AR-1017","POINT (2679530.8 1247392.4)"
"174119","AR-1912","POINT (2679586.2 1247445.5)"
"174602","AR-1903","POINT (2679643.2 1247428.8)"
"72746","AR-1219","POINT (2679443.8 1247507.4)"
"181334","AR-1916","POINT (2679562.8 1247443.4)"
"182498","AR-4272","POINT (2679602.5 1247328.6)"
"196523","AR-1915","POINT (2679564 1247456.2)"
"72632","AR-4236","POINT (2679539.2 1247456.8)"
"195875","AR-4506","POINT (2679552.2 1247585)"
"182378","AR-4211","POINT (2679586.5 1247407.5)"
"69113","AR-325","POINT (2679479.8 1247207.9)"
"182507","AR-2101","POINT (2679618.5 1247340.4)"
"46391","AR-1223","POINT (2679469.2 1247500.5)"
"25694","AR-1235","POINT (2679575.5 1247642.2)"
"197027","AR-379","POINT (2679627.8 1247409.9)"
"72773","AR-1209","POINT (2679402.5 1247498.9)"
"89138","AR-2918","POINT (2679590 1247406)"
"197531","AR-1726","POINT (2679587.2 1247366.5)"
"68558","AR-409","POINT (2679547 1247676.5)"
"60848","AR-4442","POINT (2679566.8 1247585)"
"40085","AR-2855","POINT (2679475.5 1247351.2)"
"68981","AR-334","POINT (2679484 1247320.5)"
"55529","AR-4181","POINT (2679545 1247463.6)"
"69116","AR-764","POINT (2679483.5 1247197)"
"182501","AR-2100","POINT (2679628.5 1247344.1)"
"40229","AR-2262","POINT (2679404.5 1247472.4)"
"197030","AR-380","POINT (2679625 1247405.6)"
"40217","AR-2527","POINT (2679533.8 1247467.5)"
"148409","WD-5418","POINT (2680765.5 1247914.8)"
"168386","WD-6522","POINT (2680768.5 1247769.9)"
"145661","WD-6774","POINT (2680770.8 1247719.5)"
"183695","WD-7433","POINT (2680798.8 1247812.9)"
"168725","WD-5358","POINT (2680775.5 1247798.4)"
"200774","WD-6514","POINT (2680804.8 1247783.4)"
"150368","WD-5423","POINT (2680762.8 1247899.4)"
"169559","WD-10342","POINT (2680805.5 1247740.9)"
"140156","WD-6526","POINT (2680780.8 1247765.1)"
"185705","WD-5401","POINT (2680798.2 1247910.2)"
"140153","WD-6521","POINT (2680770.2 1247774.6)"
"152645","WD-7432","POINT (2680800.8 1247813.5)"
"177557","WD-6525","POINT (2680783.5 1247762.5)"
"152639","WD-7866","POINT (2680792.8 1247810.5)"
"148439","WD-5403","POINT (2680778 1247903.8)"
"182120","WD-6836","POINT (2680761.8 1247764.4)"
"168608","WD-5406","POINT (2680782.2 1247917.4)"
"177560","WD-13136","POINT (2680801.5 1247745.2)"
"168728","WD-5360","POINT (2680774.5 1247802.5)"
"148190","WD-6517","POINT (2680800 1247789.5)"
"152636","WD-7434","POINT (2680791 1247804.5)"
"165713","WD-5405","POINT (2680792.5 1247890.1)"
"168602","WD-5408","POINT (2680788.2 1247935.6)"
"201320","WD-5398","POINT (2680806 1247897.6)"
"183026","WD-13446","POINT (2680802.8 1247879.9)"
"145646","WD-5402","POINT (2680789.8 1247911.2)"
"177566","WD-6529","POINT (2680797.8 1247741.2)"
"148415","WD-5407","POINT (2680783 1247940)"
"170177","WD-5362","POINT (2680787.8 1247811.1)"
"140621","WD-6605","POINT (2680805.8 1247750.9)"
"168497","WD-6604","POINT (2680801.5 1247736.1)"
"168611","WD-5404","POINT (2680785.2 1247897.2)"
"148436","WD-7867","POINT (2680802 1247914.8)"
"148304","WD-5417","POINT (2680764.2 1247917)"
"201323","WD-5400","POINT (2680799 1247900.5)"
"148430","WD-5415","POINT (2680804.5 1247921)"
"140261","WD-6523","POINT (2680792.2 1247754.1)"
"147182","WD-5363","POINT (2680798 1247822)"
